1441	492	938	1
1443	267	272	1
1465	181	826	1
1489	79	181	1
1500	150	196	1
1501	21	150	1
1503	21	150	1
1503	448	826	1
1503	21	205	1
1503	765	826	1
1514	39	253	1
1514	80	253	1
1518	123	845	12
1519	95	311	6
1519	118	311	6
1519	80	95	1
1519	95	118	6
1520	80	118	1
1522	118	771	2
1522	311	771	1
1522	95	771	3
1523	21	205	1
1526	153	205	1
1528	164	311	1
1532	123	845	1
1532	21	179	1
1536	311	481	1
1561	79	122	1
1578	39	120	2
1581	39	120	2
1584	39	120	2
1592	122	448	4
1595	21	150	1
1601	39	120	5
1610	39	120	1
1613	39	120	5
1615	21	150	1
1618	120	819	1
1665	431	778	1
1667	271	601	1
1670	431	778	1
1674	431	778	1
1678	15	95	1
1678	431	778	1
1683	56	194	2
1686	194	786	1
1686	194	311	1
1687	311	786	2
1689	194	786	3
1690	194	311	1
1691	311	786	3
1693	194	786	2
1698	194	786	2
1698	311	786	1
1701	95	311	1
1701	95	205	1
1702	271	601	1
1702	205	311	1
1702	21	603	1
1703	95	311	2
1709	95	123	1
1713	205	311	1
1716	150	271	2
1721	311	496	1
1725	21	431	1
1729	79	275	1
1729	50	179	1
1729	222	267	5
1729	271	601	1
1732	271	601	1
1734	150	601	1
1737	120	172	1
1737	271	448	1
1738	271	601	1
1739	29	271	1
1740	120	223	1
1741	271	601	13
1746	120	172	1
1757	271	601	3
1765	271	601	1
1778	271	601	2
1781	271	601	2
1781	116	123	1
1789	29	95	1
1790	123	253	1
1794	123	253	1
1799	123	253	1
1813	120	172	2
1816	79	253	1
1825	311	496	2
1830	285	762	2
1836	285	762	3
1841	123	253	1
1843	285	762	1
1847	150	601	1
1865	285	762	1
1871	150	762	5
1872	29	79	1
1892	116	826	1
1915	63	481	1
1917	120	172	2
1924	63	481	5
1925	762	771	1
1930	63	481	2
1934	63	481	3
1939	63	481	2
1943	63	481	1
1983	50	335	1
1983	56	939	1
1988	123	253	1
1997	778	826	2
2016	223	496	1
2021	123	253	1
2022	29	56	5
2028	116	778	1
2028	123	253	1
2028	95	819	1
2028	29	56	1
